item,item code
"MAQUINARIA DE OFICINA, CONTABILIDAD E INFORMATICA",2.3.2.01.01.003.03
"MAQUINAS PARA OFICINA Y CONTABILIDAD, Y SUS PARTES Y ACCESORIOS",2.3.2.01.01.003.03.01
"MAQUINARIA DE INFORMATICA Y SUS PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.03.02
MAQUINARIA Y APARATOS ELECTRICOS,2.3.2.01.01.003.04
"MOTORES, GENERADORES Y TRANSFORMADORES ELECTRICOS Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.04.01
APARATOS DE CONTROL ELECTRICO Y DISTRIBUCION DE ELECTRICIDAD Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.04.02
"HILOS Y CABLES AISLADOS, CABLE DE FIBRA OPTICA",2.3.2.01.01.003.04.03
"ACUMULADORES, PILAS Y BATERIAS PRIMARIAS Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.04.04
"LAMPARAS ELECTRICAS DE INCANDESCENCIA O DESCARGA, LAMPARAS DE ARCO, EQUIPO PARA ALUMBRADO ELECTRICO, SUS PARTES Y PIEZAS",2.3.2.01.01.003.04.05
OTRO EQUIPO ELECTRICO Y SUS PARTES Y PIEZAS,2.3.2.01.01.003.04.06
"EQUIPO Y APARATOS DE RADIO, TELEVISION Y COMUNICACIONES",2.3.2.01.01.003.05
"VALVULAS Y TUBOS ELECTRONICOS, COMPONENTES ELECTRONICOS, SUS PARTES Y PIEZAS",2.3.2.01.01.003.05.01
"APARATOS TRANSMISORES DE TELEVISION Y RADIO, TELEVISION, VIDEO Y CAMARAS DIGITALES, TELEFONOS",2.3.2.01.01.003.05.02
"RADIORRECEPTORES Y RECEPTORES DE TELEVISION APARATOS PARA LA GRABACION Y REPRODUCCION DE SONIDO Y VIDEO, MICROFONOS, ALTAVOCES, AMPLIFICADORES, ETC",2.3.2.01.01.003.05.03
PARTES Y PIEZAS DE LOS PRODUCTOS DE LAS CLASES 4721 A 4733 Y 4822,2.3.2.01.01.003.05.04
"DISCOS, CINTAS, DISPOSITIVOS DE ALMACENAMIENTO EN ESTADO SOLIDO NO VOLATILES Y OTROS MEDIOS, NO GRABADOS",2.3.2.01.01.003.05.05
"GRABACIONES DE AUDIO, VIDEO Y OTROS DISCOS, CINTAS Y OTROS MEDIOS FISICOS",2.3.2.01.01.003.05.06
TARJETAS CON BANDAS MAGNETICAS O PLAQUETAS CHIP,2.3.2.01.01.003.05.07
"APARATOS MEDICOS, INSTRUMENTOS OPTICOS Y DE PRECISION, RELOJES",2.3.2.01.01.003.06
APARATOS MEDICOS Y QUIRURGICOS Y APARATOS ORTESICOS Y PROTESICOS,2.3.2.01.01.003.06.01
"INSTRUMENTOS Y APARATOS DE MEDICION, VERIFICACION, ANALISIS, DE NAVEGACION Y PARA OTROS FINES EXCEPTO INSTRUMENTOS OPTICOS, INSTRUMENTOS DE CONTROL DE PROCESOS INDUSTRIALES, SUS PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.06.02
"INSTRUMENTOS OPTICOS Y EQUIPO FOTOGRAFICO, PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.06.03
EQUIPO DE TRANSPORTE,2.3.2.01.01.003.07
"VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES, Y SUS PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.07.01
"CARROCERIAS INCLUSO CABINAS PARA VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES, Y SUS PARTES, PIEZAS Y ACCESORIOS",2.3.2.01.01.003.07.02
BUQUES,2.3.2.01.01.003.07.03
EMBARCACIONES PARA DEPORTES Y RECREO,2.3.2.01.01.003.07.04
"LOCOMOTORAS Y MATERIAL RODANTE DE FERROCARRIL Y TRANVIA, Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.07.05
"AERONAVES Y NAVES ESPACIALES, Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.07.06
"OTRO EQUIPO DE TRANSPORTE, Y SUS PARTES Y PIEZAS",2.3.2.01.01.003.07.07
MOTOCICLETAS Y SIDECARES VEHICULOS LATERALES A LAS MOTOCICLETAS,2.3.2.01.01.003.07.07.01
BICICLETAS Y SILLONES DE RUEDAS PARA DISCAPACITADOS,2.3.2.01.01.003.07.07.02
VEHICULOS N.C.P. SIN PROPULSION MECANICA,2.3.2.01.01.003.07.07.03
PARTES Y PIEZAS PARA LOS PRODUCTOS DE LAS CLASES 4991 Y 4992,2.3.2.01.01.003.07.07.04
ACTIVOS FIJOS NO CLASIFICADOS COMO MAQUINARIA Y EQUIPO,2.3.2.01.01.004
"MUEBLES, INSTRUMENTOS MUSICALES, ARTICULOS DE DEPORTE Y ANTIGÃœEDADES",2.3.2.01.01.004.01
MUEBLES,2.3.2.01.01.004.01.01
ASIENTOS,2.3.2.01.01.004.01.01.01
MUEBLES DEL TIPO UTILIZADO EN LA OFICINA,2.3.2.01.01.004.01.01.02
"MUEBLES DE MADERA, DEL TIPO USADO EN LA COCINA",2.3.2.01.01.004.01.01.03
OTROS MUEBLES N.C.P.,2.3.2.01.01.004.01.01.04
"SOMIERES, COLCHONES CON MUEBLES, RELLENOS O GUARNECIDOS INTERIORMENTE CON CUALQUIER MATERIAL, DE CAUCHO O PLASTICOS CELULARES, RECUBIERTOS O NO",2.3.2.01.01.004.01.01.05
PARTES Y PIEZAS DE MUEBLES,2.3.2.01.01.004.01.01.06
INSTRUMENTOS MUSICALES,2.3.2.01.01.004.01.02
ARTICULOS DE DEPORTE,2.3.2.01.01.004.01.03
ANTIGÃœEDADES U OTROS OBJETOS DE ARTE,2.3.2.01.01.004.01.04
OTROS ACTIVOS FIJOS,2.3.2.01.01.005
RECURSOS BIOLOGICOS CULTIVADOS,2.3.2.01.01.005.01
RECURSOS ANIMALES QUE GENERAN PRODUCTOS EN FORMA REPETIDA,2.3.2.01.01.005.01.01
ANIMALES DE CRIA,2.3.2.01.01.005.01.01.01
GANADO LECHERO,2.3.2.01.01.005.01.01.02
ANIMALES EMPLEADOS PARA EL TRANSPORTE,2.3.2.01.01.005.01.01.05
ANIMALES EMPLEADOS PARA LAS CARRERAS,2.3.2.01.01.005.01.01.06
OTROS ANIMALES QUE GENERAN PRODUCTOS EN FORMA REPETIDA,2.3.2.01.01.005.01.01.08
"ARBOLES, CULTIVOS Y PLANTAS QUE GENERAN PRODUCTOS EN FORMA REPETIDA",2.3.2.01.01.005.01.02
ARBOLES FRUTALES,2.3.2.01.01.005.01.02.01
ARBOLES CULTIVADOS POR SUS NUECES,2.3.2.01.01.005.01.02.02
ARBOLES CULTIVADOS POR SU CORTEZA U HOJAS,2.3.2.01.01.005.01.02.05
"OTROS ARBOLES, CULTIVOS Y PLANTAS QUE GENERAN PRODUCTOS EN FORMA REPETIDA",2.3.2.01.01.005.01.02.06
PRODUCTOS DE LA PROPIEDAD INTELECTUAL,2.3.2.01.01.005.02
INVESTIGACION Y DESARROLLO,2.3.2.01.01.005.02.01
EXPLOTACION Y EVALUACION MINERA,2.3.2.01.01.005.02.02
"OBTENCION DE LICENCIAS, ADQUISICION Y AVALUOS",2.3.2.01.01.005.02.02.03
OTROS COSTOS DE EVALUACION Y EXPLOTACION MINERA,2.3.2.01.01.005.02.02.05
PROGRAMAS DE INFORMATICA Y BASES DE DATOS,2.3.2.01.01.005.02.03
PROGRAMAS DE INFORMATICA,2.3.2.01.01.005.02.03.01
PAQUETES DE SOFTWARE,2.3.2.01.01.005.02.03.01.01
GASTOS DE DESARROLLO,2.3.2.01.01.005.02.03.01.02
BASES DE DATOS,2.3.2.01.01.005.02.03.02
"ORIGINALES DE ENTRETENIMIENTO, LITERATURA Y ARTE",2.3.2.01.01.005.02.04
OTROS PRODUCTOS DE PROPIEDAD INTELECTUAL,2.3.2.01.01.005.02.05
OBJETOS DE VALOR,2.3.2.01.02
JOYAS Y ARTICULOS CONEXOS,2.3.2.01.02.001
OTROS OBJETOS VALIOSOS,2.3.2.01.02.003
ACTIVOS NO PRODUCIDOS,2.3.2.01.03
TIERRAS Y TERRENOS,2.3.2.01.03.001
RECURSOS BIOLOGICOS NO CULTIVADOS,2.3.2.01.03.002
ADQUISICIONES DIFERENTES DE ACTIVOS,2.3.2.02
MATERIALES Y SUMINISTROS,2.3.2.02.01
"AGRICULTURA, SILVICULTURA Y PRODUCTOS DE LA PESCA",2.3.2.02.01.000
"MINERALES, ELECTRICIDAD, GAS Y AGUA",2.3.2.02.01.001
"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO",2.3.2.02.01.002
"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.3.2.02.01.003
"PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.3.2.02.01.004
ADQUISICION DE SERVICIOS,2.3.2.02.02
CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION,2.3.2.02.02.005
"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA",2.3.2.02.02.006
SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING,2.3.2.02.02.007
SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION,2.3.2.02.02.008
"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES",2.3.2.02.02.009
VIATICOS DE LOS FUNCIONARIOS EN COMISION,2.3.2.02.02.010
TRANSFERENCIAS CORRIENTES,2.3.3
SUBVENCIONES,2.3.3.01
A EMPRESAS PUBLICAS NO FINANCIERAS,2.3.3.01.02
SUBVENCIONES A EMPRESAS DE TRANSPORTE MASIVO,2.3.3.01.02.003
SUBVENCIONES PARA SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE Y SANEAMIENTO BASICO,2.3.3.01.02.004
SUBSIDIOS DE ACUEDUCTO,2.3.3.01.02.004.01
SUBSIDIOS DE ALCANTARILLADO,2.3.3.01.02.004.02
SUBSIDIOS DE ASEO,2.3.3.01.02.004.03
MINIMO VITAL,2.3.3.01.02.004.04
TRANSFERENCIAS PARA EMPRESAS SOCIALES DEL ESTADO,2.3.3.01.02.005
A EMPRESAS PRIVADAS NO FINANCIERAS,2.3.3.01.04
SUBVENCIONES PARA SERVICIOS PUBLICOS DOMICILIARIOS DE AGUA POTABLE Y SANEAMIENTO BASICO,2.3.3.01.04.004
SUBSIDIOS DE ACUEDUCTO,2.3.3.01.04.004.01
SUBSIDIOS DE ALCANTARILLADO,2.3.3.01.04.004.02
SUBSIDIOS DE ASEO,2.3.3.01.04.004.03
MINIMO VITAL,2.3.3.01.04.004.04
TRANSFERENCIAS A LOS ADMINISTRADORES DE INFRAESTRUCTURA PUBLICA,2.3.3.01.04.005
A EMPRESAS DIFERENTE DE SUBVENCIONES,2.3.3.02
ACTIVIDADES DE ATENCION A LA SALUD HUMANA Y DE ASISTENCIA SOCIAL,2.3.3.02.01
CAMPANA Y CONTROL ANTITUBERCULOSIS,2.3.3.02.01.001
FINANCIACION DE BENEFICIARIOS DEL REGIMEN SUBSIDIADO EN SALUD. ART 10 LEY 1122 DE 2007,2.3.3.02.01.004
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.01.999
"AGRICULTURA, GANADERIA, CAZA, SILVICULTURA Y PESCA",2.3.3.02.02
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.02.999
"ADMINISTRACION PUBLICA Y DEFENSA, PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA",2.3.3.02.03
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.03.999
EDUCACION,2.3.3.02.04
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.04.999
ACTIVIDADES DE SERVICIOS FINANCIEROS Y DE SEGUROS,2.3.3.02.05
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.05.999
INFORMACION Y COMUNICACIONES,2.3.3.02.06
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.06.999
OTRAS ACTIVIDADES DE SERVICIOS,2.3.3.02.07
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.07.999
"DISTRIBUCION DE AGUA EVACUACION Y TRATAMIENTO DE AGUAS RESIDUALES, GESTION DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO AMBIENTAL",2.3.3.02.09
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.09.999
ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO,2.3.3.02.17
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.17.999
"ACTIVIDADES ARTISTICAS, DE ENTRETENIMIENTO Y RECREACION",2.3.3.02.18
TRANSFERENCIAS A EMPRESAS DEL SECTOR NO CLASIFICADAS PREVIAMENTE,2.3.3.02.18.999
A GOBIERNOSY ORGANIZACIONES INTERNACIONALES,2.3.3.03
A OTRAS ORGANIZACIONES INTERNACIONALES,2.3.3.03.03
MEMBRESIAS,2.3.3.03.03.01
DISTINTAS A MEMBRESIAS,2.3.3.03.03.02
A ORGANIZACIONES NACIONALES,2.3.3.04
A OTRAS ORGANIZACIONES NACIONALES,2.3.3.04.05
MEMBRESIAS,2.3.3.04.05.001
DISTINTAS A MEMBRESIAS,2.3.3.04.05.002
A ENTIDADES DEL GOBIERNO,2.3.3.05
A ORGANOS DEL PGN,2.3.3.05.01
"ADMINISTRACION, FUNCIONAMIENTO E INFRAESTRUCTURA DEL REGISTRO NACIONAL DE MEDIDAS CORRECTIVAS",2.3.3.05.01.061
TRANSFERENCIA A LA POLICIA NACIONAL POR MULTAS CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA,2.3.3.05.01.063
DEVOLUCION DE APORTES A LA NACION,2.3.3.05.01.064
SERVICIO DE POLICIA EN MODALIDAD DE VIGILANCIA,2.3.3.05.01.067
"ADMINISTRACION, FUNCIONAMIENTO E INFRAESTRUCTURA DEL SISTEMA UNICO DE INFORMACION DE RECAUDO, REGISTRO Y TRANSACCION DE MULTAS DEL CODIGO NACIONAL DE SEGURIDAD Y CONVIVENCIA CIUDADANA",2.3.3.05.01.068
SISTEMA GENERAL DE PARTICIPACIONES,2.3.3.05.02
PARTICIPACION PARA EDUCACION,2.3.3.05.02.001
CANCELACION DE PRESTACIONES SOCIALES DEL MAGISTERIO,2.3.3.05.02.001.02
A ENTIDADES TERRITORIALES DISTINTAS DE COMPENSACIONES Y PARTICIPACIONES,2.3.3.05.07
TRANSFERIR A LAS ENTIDADES TERRITORIALES PARA APOYAR LA OPERACION DEL PROGRAMA DE ALIMENTACION ESCOLAR,2.3.3.05.07.013
A ESQUEMAS ASOCIATIVOS,2.3.3.05.08
REGION ADMINISTRATIVA DE PLANIFICACION ESPECIAL-RAPE,2.3.3.05.08.001
A ESQUEMAS ASOCIATIVOS,2.3.3.05.08.99
A OTRAS ENTIDADES DEL GOBIERNO GENERAL,2.3.3.05.09
A UNIVERSIDADES PARA FUNCIONAMIENTO LEY 30 DE 1992 ARTICULO 86,2.3.3.05.09.015
POLITECNICO COLOMBIANO JAIME ISAZA CADAVID,2.3.3.05.09.040
TECNOLOGICO DE ANTIOQUIA,2.3.3.05.09.041
ASEGURAMIENTO EN SALUD,2.3.3.05.09.045
ASEGURAMIENTO EN SALUD - ENTIDADES TERRITORIALES,2.3.3.05.09.048
RECURSOS PARA TRANSFERIR A INSTITUCIONES DE EDUCACION SUPERIOR PUBLICAS - ARTICULO 142 DE LA LEY 1819 DE 2016,2.3.3.05.09.052
"FONDOS DE SERVICIOS EDUCATIVOS DE LAS INSTITUCIONES DE PREESCOLAR, BASICA Y MEDIA",2.3.3.05.09.053
FONDO DE INVESTIGACION EN SALUD,2.3.3.05.09.056
TRANSFERENCIAS A FONDOS DE DESARROLLO LOCAL,2.3.3.05.09.060
APORTES A ESTABLECIMIENTOS PUBLICOS Y UNIDADES ADMINISTRATIVAS ESPECIALES,2.3.3.05.09.099
PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,2.3.3.07
PRESTACIONES DE ASISTENCIA SOCIAL,2.3.3.07.01
TRANSFERENCIA A COLPENSIONES PARA ADMINISTRACION BENEFICIOS ECONOMICOS PERIODICOS (OTRAS PRESTACIONES DE JUBILACION),2.3.3.07.01.002
PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,2.3.3.07.02
MESADAS PENSIONALES DE PENSIONES,2.3.3.07.02.001
MESADAS PENSIONALES A CARGO DE LA ENTIDAD DE PENSIONES,2.3.3.07.02.001.02
FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO DE PENSIONES,2.3.3.07.02.005
INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD NO DE PENSIONES,2.3.3.07.02.010
INCAPACIDADES NO DE PENSIONES,2.3.3.07.02.010.01
LICENCIAS DE MATERNIDAD Y PATERNIDAD NO DE PENSIONES,2.3.3.07.02.010.02
AUXILIOS FUNERARIOS,2.3.3.07.02.012
AUXILIOS FUNERARIOS A CARGO DE LA ENTIDAD,2.3.3.07.02.012.02
APORTE PREVISION SOCIAL SERVICIOS MEDICOS (OTRAS PRESTACIONES DE JUBILACION),2.3.3.07.02.013
FONDO NACIONAL DE PRESTACIONES SOCIALES DEL MAGISTERIO NO DE PENSIONES,2.3.3.07.02.029
A LOS HOGARES DIFERENTES DE PRESTACIONES SOCIALES,2.3.3.08
ACTIVIDADES DE PROMOCION Y DESARROLLO DE LA CULTURA,2.3.3.08.04
ESTIMULOS Y BENEFICIOS A LOS DEPORTISTAS,2.3.3.08.06
RECURSOS PARA LAS MESAS DE PARTICIPACION DE VICTIMAS,2.3.3.08.07
RECURSOS PARA EL MEJORAMIENTO DE VIVIENDA URBANA Y RURAL,2.3.3.08.08
A INSTITUCIONES SIN ANIMO DE LUCRO QUE SIRVEN A LOS HOGARES,2.3.3.09
SOBRETASA BOMBERIL - CUERPOS DE BOMBEROS VOLUNTARIOS,2.3.3.09.16
ACTIVIDADES DE PROMOCION Y DESARROLLO DEL DEPORTE,2.3.3.09.17
"TRANSFERENCIA A CORPORACION MALOKA DE CIENCIA, TECNOLOGIA E INNOVACION",2.3.3.09.18
"TRANSFERENCIA A CORPORACION PARA EL DESARROLLO REGIONAL ""BOGOTA"" REGION",2.3.3.09.19
COMPENSACIONES CORRIENTES,2.3.3.10
RECURSOS DEL SISTEMA DE SEGURIDAD SOCIAL INTEGRAL,2.3.3.11
SISTEMA GENERAL DE PENSIONES,2.3.3.11.02
CAPITALIZACION DE PATRIMONIOS AUTONOMOS PENSIONALES,2.3.3.11.02.001
CAPITALIZACION DE OTROS PATRIMONIOS AUTONOMOS PENSIONALES,2.3.3.11.02.001.02
A PRODUCTORES DE MERCADO QUE DISTRIBUYEN DIRECTAMENTE A LOS HOGARES,2.3.3.12
RECURSOS PARA EL MEJORAMIENTO DE VIVIENDA URBANA Y RURAL,2.3.3.12.03
SENTENCIAS Y CONCILIACIONES,2.3.3.13
FALLOS NACIONALES,2.3.3.13.01
SENTENCIAS,2.3.3.13.01.001
CONCILIACIONES,2.3.3.13.01.002
LAUDOS ARBITRALES,2.3.3.13.01.003
APORTES AL FONPET,2.3.3.14
POR LA VENTA DE ACTIVOS,2.3.3.14.03
TRANSFERENCIAS DE CAPITAL,2.3.4
ENTIDADES DEL GOBIERNO GENERAL,2.3.4.02
ORGANOS DEL PGN,2.3.4.02.01
ENTIDADES TERRITORIALES DISTINTAS DE PARTICIPACIONES Y COMPENSACIONES,2.3.4.02.02
ESQUEMAS ASOCIATIVOS,2.3.4.02.03
ENTIDADES DEL GOBIERNO GENERAL,2.3.4.02.04
A OTRAS ENTIDADES PUBLICAS,2.3.4.02.05
CAPITALIZACION DE EMPRESAS DESCENTRALIZADAS DEL NIVEL TERRITORIAL,2.3.4.02.05.003
COMPENSACIONES DE CAPITAL,2.3.4.03
PARA LA ADQUISICION DE ACTIVOS NO FINANCIEROS,2.3.4.04
PLANES DEPARTAMENTALES PARA EL MANEJO EMPRESARIAL DE LOS SERVICIOS DE AGUA Y SANEAMIENTO (PDA),2.3.4.09
GASTOS DE COMERCIALIZACION Y PRODUCCION,2.3.5
MATERIALES Y SUMINISTROS,2.3.5.01
"AGRICULTURA, SILVICULTURA Y PRODUCTOS DE LA PESCA",2.3.5.01.00
"MINERALES, ELECTRICIDAD, GAS Y AGUA",2.3.5.01.01
"PRODUCTOS ALIMENTICIOS, BEBIDAS Y TABACO, TEXTILES, PRENDAS DE VESTIR Y PRODUCTOS DE CUERO",2.3.5.01.02
"OTROS BIENES TRANSPORTABLES EXCEPTO PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.3.5.01.03
"PRODUCTOS METALICOS, MAQUINARIA Y EQUIPO",2.3.5.01.04
ADQUISICION DE SERVICIOS,2.3.5.02
CONSTRUCCION Y SERVICIOS DE LA CONSTRUCCION,2.3.5.02.05
"COMERCIO Y DISTRIBUCION; ALOJAMIENTO; SERVICIOS DE SUMINISTRO DE COMIDAS Y BEBIDAS; SERVICIOS DE TRANSPORTE; Y SERVICIOS DE DISTRIBUCION DE ELECTRICIDAD, GAS Y AGUA",2.3.5.02.06
SERVICIOS FINANCIEROS Y SERVICIOS CONEXOS; SERVICIOS INMOBILIARIOS; Y SERVICIOS DE ARRENDAMIENTO Y LEASING,2.3.5.02.07
SERVICIOS PRESTADOS A LAS EMPRESAS Y SERVICIOS DE PRODUCCION,2.3.5.02.08
"SERVICIOS PARA LA COMUNIDAD, SOCIALES Y PERSONALES",2.3.5.02.09
ADQUISICION DE ACTIVOS FINANCIEROS,2.3.6
CONCESION DE PRESTAMOS,2.3.6.01
A ESTABLECIMIENTOS PUBLICOS,2.3.6.01.02
A OTRAS ENTIDADES DEL GOBIERNO GENERAL,2.3.6.01.03
A PERSONAS NATURALES,2.3.6.01.04
CREDITO HIPOTECARIO PARA SUS EMPLEADOS,2.3.6.01.04.002
FONDO DE PRESTAMOS,2.3.6.01.04.003
PRESTAMOS EDUCATIVOS,2.3.6.01.04.009
ADQUISICION DE ACCIONES,2.3.6.02
DE EMPRESAS PUBLICAS NO FINANCIERAS,2.3.6.02.03
DE EMPRESAS PRIVADAS NO FINANCIERAS,2.3.6.02.05
DISMINUCION DE PASIVOS,2.3.7
CESANTIAS,2.3.7.01
CESANTIAS DEFINITIVAS,2.3.7.01.01
CESANTIAS PARCIALES,2.3.7.01.02
PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO,2.3.7.05
PAGO DE INDEMNIZACIONES ORIGINADAS EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO,2.3.7.05.02
"PAGO DE DEFICIT FISCAL, DE PASIVO LABORAL Y PRESTACIONAL EN PROGRAMAS DE SANEAMIENTO FISCAL Y FINANCIERO",2.3.7.05.03
FINANCIACION DE DEFICIT FISCAL,2.3.7.06
GASTOS DE PERSONAL,2.3.7.06.01
ADQUISICION DE BIENES Y SERVICIOS,2.3.7.06.02
TRANSFERENCIAS CORRIENTES,2.3.7.06.03
TRANSFERENCIAS DE CAPITAL,2.3.7.06.04
ADQUISICION DE ACTIVOS FINANCIEROS,2.3.7.06.05
"GASTOS POR TRIBUTOS, TASAS, DERECHOS, MULTAS, SANCIONES E INTERESES DE MORA",2.3.7.06.06
GASTOS DE COMERCIALIZACION Y PRODUCCION,2.3.7.06.07
COMPROMISOS ADQUIRIDOS A 31 DE DICIEMBRE DE 2011,2.3.7.07
DISMINUCIONES DE PASIVOS DERIVADOS DEL SECTOR SALUD,2.3.7.10
"GASTOS POR TRIBUTOS, TASAS, CONTRIBUCIONES, MULTAS, SANCIONES E INTERESES DE MORA",2.3.8
TASAS Y DERECHOS ADMINISTRATIVOS,2.3.8.03
CONTRIBUCIONES,2.3.8.04
CONTRIBUCION - SUPERINTENDENCIA FINANCIERA DE COLOMBIA,2.3.8.04.02
CONTRIBUCION SECTOR ELECTRICO,2.3.8.04.04
